outcome,sex,model,estimator,term,n_used,coef,p_value,note
stem_any_ge_5,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,183843,0.12799181795281667,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,183843,0.08696120037728533,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,183843,0.12852068298638464,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,183843,0.08422786852180636,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,183843,0.008943368556466599,0.00043964507210552404,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M1_CGN_only,school_fe_ols,cgn01,182398,-0.11613336863538819,5.267126230403852e-296,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,182398,-0.07882141142054173,1.6293565588151993e-129,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,182398,0.08793761229750824,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,182398,-0.08780490567370125,3.2102117196923424e-162,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,182398,0.09829164871924562,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,182398,-0.03507714859995709,4.735117965263438e-40,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,M1_CGN_only,school_fe_ols,cgn01,98575,0.031073488106223953,9.29750156587217e-51,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,98575,0.031672986405868235,1.4550636667144911e-52,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,98575,0.004166844546904268,1.9965861639161248e-09,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,98575,0.03166779761243878,1.1089645039572378e-52,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,98575,0.003917162187151709,3.122540120373162e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
