pc2_decile,n,prop_male,mean_pc1,mean_pc2,mean_gci,prop_cgn
1,36751,0.5768550515632228,0.16664514956332785,-2.159781178240315,0.5793172248359187,0.3886424859187505
2,36751,0.4775924464640418,-0.06158337497248806,-1.112947977065165,0.600117059419223,0.2247557889581236
3,36750,0.46459863945578234,-0.12421784587786744,-0.6783751462061636,0.611649118147489,0.18555102040816326
4,36751,0.4740551277516258,-0.10465469995362378,-0.3533690319174202,0.6187311554814595,0.17411771108269164
5,36751,0.48483034475252373,-0.06038895428480102,-0.07168648008549175,0.6225127281437929,0.17128785611275885
6,36750,0.49621768707482994,-0.02090390178812799,0.19187870695919537,0.6258787060086823,0.1621768707482993
7,36751,0.5039318657995701,0.021955321255708805,0.46032149636344416,0.6277928023618572,0.1591793420587195
8,36750,0.5073197278911564,0.05354372160767521,0.7579635212368154,0.6274723939411513,0.16315646258503402
9,36751,0.506027046883078,0.07681109902050111,1.126764147015973,0.626170436454204,0.16894778373377595
10,36751,0.48997306195749774,0.0527909935784243,1.8392393285975037,0.6149553749243365,0.20219857963048624
