sex,cgn,n,mean_pc1,mean_pc2,sd_pc2,median_pc2,prop_high_pc2,prop_low_pc2,cohens_d_pc2_CGN_minus_nonCGN,corr_cgn_pc2
female,non_CGN,147549,-1.4955971671744952,0.07362013698480147,1.001632114522538,0.07434639476633646,0.24765332194728532,0.2319432866369816,,
female,CGN,36888,-0.11947274280164158,-0.14013140387470666,1.3349359048027216,-0.03877058620878016,0.259406853177185,0.3222457167642594,,
female,CGN_minus_nonCGN_summary,184437,,,,,,,-0.1811284387241341,-0.07916984930745537
male,non_CGN,146456,1.4985907054975576,0.06926081683859474,1.084465271585127,0.1374843882037807,0.2637720544054187,0.2166794122466816,,
male,CGN,36614,0.15303918150287388,-0.4325414474450628,1.4018894030680011,-0.2989261814525587,0.19492543835691264,0.38329600699186106,,
male,CGN_minus_nonCGN_summary,183070,,,,,,,-0.4003951803044104,-0.17122520655375567
