outcome,sex,model,estimator,term,n_used,coef,p_value,note
eng_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,182398,-0.00289902673668287,0.6846212838370338,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,183843,0.12852068298638464,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,183843,0.08422786852180636,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,183843,0.008943368556466599,0.00043964507210552404,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,183843,0.09489759040152365,8.771236647315629e-194,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,183843,0.14179233394274315,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,183843,0.062411215965637395,1.2863645919636369e-20,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,182398,-0.08780490567370125,3.2102117196923424e-162,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,182398,0.09829164871924562,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,182398,-0.03507714859995709,4.735117965263438e-40,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,182398,-0.10476308482928291,1.8536817032827695e-185,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,182398,0.17296239039477906,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,182398,0.002987783891763288,0.6763352134021077,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,98575,0.03166779761243878,1.1089645039572378e-52,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,98575,0.003917162187151709,3.122540120373162e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,98575,0.0008830383504578842,0.5969430876408538,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,98575,0.032569073677707734,2.6346632488429612e-42,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,98575,0.0038999766336782348,0.012081012276890325,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,98575,-0.005673722939079762,0.18197949672106495,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,90421,-0.03086444027972106,1.4768434947120812e-16,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,90421,0.004737614217980587,0.00554290789911228,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,90421,0.0021305502286543933,0.44368710681796,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,90421,-0.033354137307441654,2.257147191166857e-18,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,90421,-0.009021374909941132,0.013590221222431616,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,90421,-0.003821095879006188,0.6254307918429161,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,98575,0.001933559147816373,7.247171700353995e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,98575,4.86754391350018e-05,0.5966546643566195,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,98575,-0.0002492122046837698,0.3964910670712932,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,98575,0.001974065744642907,2.4573622415843165e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,98575,0.00021868458323211229,0.3282257332553663,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,98575,-0.00015169036899643208,0.8416673420045953,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,90421,-0.052692631570776596,2.6947050857113593e-115,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,90421,0.0027949891289783205,0.015053425477883827,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,90421,-0.0031456381880314954,0.07429721565302697,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,90421,-0.053526162396653705,1.1895737185489608e-105,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,90421,-0.005343511270057477,0.0450992759883179,"For binary outcomes, coefficient is percentage-point change in an LPM."
