outcome,sex,contrast,difference
major_realized_y11_engineering,male,among_CGN_highPC2_minus_lowPC2,-0.02226507015834857
major_realized_y11_engineering,male,among_nonCGN_highPC2_minus_lowPC2,-0.028554837220390317
major_realized_y11_engineering,male,highPC2_CGN_minus_nonCGN,-0.08301704666742414
major_realized_y11_engineering,male,lowPC2_CGN_minus_nonCGN,-0.08930681372946589
major_realized_y11_stem,female,among_CGN_highPC2_minus_lowPC2,0.0026862323947600963
major_realized_y11_stem,female,among_nonCGN_highPC2_minus_lowPC2,-0.001351417519463341
major_realized_y11_stem,female,highPC2_CGN_minus_nonCGN,0.0455204011462783
major_realized_y11_stem,female,lowPC2_CGN_minus_nonCGN,0.04148275123205486
major_realized_y11_stem,male,among_CGN_highPC2_minus_lowPC2,-0.042644953775084066
major_realized_y11_stem,male,among_nonCGN_highPC2_minus_lowPC2,-0.0480002662029026
major_realized_y11_stem,male,highPC2_CGN_minus_nonCGN,-0.10075522160015843
major_realized_y11_stem,male,lowPC2_CGN_minus_nonCGN,-0.10611053402797696
stem_any_ge_4,female,among_CGN_highPC2_minus_lowPC2,0.2531299870712286
stem_any_ge_4,female,among_nonCGN_highPC2_minus_lowPC2,0.25566313462982765
stem_any_ge_4,female,highPC2_CGN_minus_nonCGN,0.1422027767921039
stem_any_ge_4,female,lowPC2_CGN_minus_nonCGN,0.14473592435070298
stem_any_ge_4,male,among_CGN_highPC2_minus_lowPC2,0.1634021722600152
stem_any_ge_4,male,among_nonCGN_highPC2_minus_lowPC2,0.13771351144949318
stem_any_ge_4,male,highPC2_CGN_minus_nonCGN,-0.04617922849930556
stem_any_ge_4,male,lowPC2_CGN_minus_nonCGN,-0.07186788930982757
stem_any_ge_5,female,among_CGN_highPC2_minus_lowPC2,0.25279933149466693
stem_any_ge_5,female,among_nonCGN_highPC2_minus_lowPC2,0.1900726018924162
stem_any_ge_5,female,highPC2_CGN_minus_nonCGN,0.16051593885795107
stem_any_ge_5,female,lowPC2_CGN_minus_nonCGN,0.09778920925570034
stem_any_ge_5,male,among_CGN_highPC2_minus_lowPC2,0.22327208395319847
