model,features,cv_auc_mean,cv_auc_sd
PC1 only,pc1,0.9843369590750515,0.00048757721742754596
PC2 only,pc2,0.5062405616775936,0.0011016277710317046
abs(PC2) only,abs_pc2,0.5169984387825645,0.0010899039383829498
PC2 + PC2^2,"pc2, pc2_sq",0.5095113106094435,0.0009607642949101416
PC1 + PC2,"pc1, pc2",0.9844907832588137,0.0004986204210293769
